trafficLightMasterId avg_waiting_time[sec] avg_queue_length
190 2.0 1.0
192 1.0 1.0
194 7.0 1.0
196 1.0 1.0
197 6.0 1.0
198 5.0 1.0
199 8.0 1.0
200 1.0 1.0
201 1.0 1.0
202 7.0 2.0
205 7.0 2.0
207 1.0 1.0
208 1.0 1.0
218 8.0 1.0
221 3.0 3.0
222 5.0 1.0
225 1.0 1.0
234 6.0 1.0
237 13.0 1.0
246 1.0 1.0
247 13.0 1.0
258 6.0 1.0
263 1.0 1.0
266 1.0 1.0
267 1.0 1.0
269 5.0 1.0
286 9.0 1.0
289 1.0 1.0
302 1.0 1.0
318 14.0 1.0
326 1.0 1.0
327 1.0 1.0
328 2.0 1.0
329 5.0 1.0
334 1.0 1.0
339 5.0 1.0
345 1.0 1.0
346 3.0 1.0
347 3.0 1.0
350 6.0 1.0
369 1.0 1.0
373 1.0 1.0
377 9.0 1.0
381 1.0 1.0
382 1.0 1.0
383 1.0 1.0
403 4.0 1.0
404 2.0 1.0
405 1.0 1.0
407 6.0 1.0
408 12.0 1.0
432 1.0 1.0
440 1.0 1.0
443 1.0 1.0
446 3.0 1.0
457 8.0 1.0
458 1.0 1.0
460 1.0 1.0
462 1.0 1.0
468 7.0 1.0
