#streetID cars_that_crossed_this_street
4245317 1
4245321 1
4245330 3
4245337 1
4245341 7
4245345 2
4245346 9
4245347 1
4245348 6
4245352 2
4247946 1
4247947 3
4247948 4
4247949 7
4276749 1
4949528 1
4949535 2
4949723 6
4950835 9
4951067 2
4951069 6
4951070 1
4951071 3
4951292 5
4951293 2
4951338 1
4951339 1
4951340 4
4951377 1
4951382 2
4951429 3
4951467 1
4951497 2
4951498 1
6171077 2
8043279 1
10140405 1
10140484 3
10140555 2
10140730 2
10141263 7
10148346 2
10148347 1
10639982 2
10639983 1
10640840 14
10640841 2
11353130 2
11353959 1
11353963 2
11354434 1
11377078 1
11490990 1
13277499 1
13277836 4
13278244 1
13279890 1
13279979 1
13280171 1
13280218 1
13869315 1
13869340 3
13869401 1
13886742 1
13887779 1
13888962 1
15446109 1
15447207 5
15450139 1
15450768 2
15458320 1
15462202 1
15462205 1
18888065 4
19735142 1
19735205 8
19735692 2
19735698 2
19735845 5
19754726 13
20870170 1
20878280 5
20878284 1
20878288 2
20881246 1
20882917 1
20882924 2
20884504 1
20887619 1
20894081 1
20900287 1
20900295 6
20901242 1
20909436 2
20909441 1
20913023 1
20931229 1
20933527 4
20935765 2
20935772 3
22690669 10
22716368 1
22716442 1
22716489 6
22735086 1
22735114 1
22737073 1
22737076 1
22801764 1
22801767 1
22815357 1
22818101 1
22820424 1
22820808 1
22823209 1
22868575 1
22871125 1
22873681 1
22873746 2
22874074 1
22874080 1
22878426 1
22878456 3
22878481 1
22880282 3
22880293 5
22880319 1
22880422 8
22884893 2
22884964 2
22885048 1
22885181 1
22885424 3
22885429 1
22885460 2
22885513 1
22885521 1
22885648 1
22885654 1
22885698 2
22885714 1
22886061 1
22886081 3
22886091 2
22886136 3
22886161 8
22886177 2
22886200 1
22886388 1
22886416 1
22886435 2
22886476 2
22886485 4
22886577 1
22886695 3
22886735 1
22890887 2
22894036 1
22897691 1
22897786 2
22897789 8
22900781 1
22900817 1
22900827 3
22900878 2
22905691 1
22907615 1
22908029 1
22908183 1
22908202 2
22908255 2
22912136 2
22943369 1
22946861 1
22946872 1
22946995 1
22947021 1
22947125 1
22947219 1
22950990 1
22951250 1
22951313 3
22951369 3
22951389 1
22951460 2
22951527 4
22951603 1
22951605 3
22951615 1
22951657 1
22951696 2
22951711 10
22951712 3
22951719 6
22951725 2
22951774 8
22951775 20
22951799 3
22955592 5
22955640 1
22955642 2
22955683 1
22955686 1
22955833 3
22956003 1
22956103 1
22956135 1
22961183 1
22978771 1
22978808 4
22978812 7
22978823 3
22978876 11
22978886 8
22978888 1
22978895 1
22978898 3
22978903 9
22978906 2
22978926 1
22978928 1
22978985 1
22978991 1
22979056 1
22979103 5
22979122 5
22979125 7
22988990 1
22989065 1
22989330 1
22989438 2
22989439 2
22989444 2
22989445 1
22989470 2
22989486 2
22989573 1
22989581 2
22989585 1
22989606 2
22989923 1
22989968 1
22990572 1
22991764 1
23032015 1
23032260 1
23032806 2
23032812 17
23034273 1
23035857 1
23036521 1
23036528 1
23036910 1
23036916 1
23036922 4
23046199 1
23112579 1
23112858 1
23173309 1
23173316 1
23173322 1
23173402 2
23173461 8
23173469 1
23173472 1
23173577 1
23173616 8
23173669 15
23173686 1
23173701 2
23173724 12
23198667 2
23199081 1
23199194 1
23199372 1
23199718 1
23206800 1
23266158 1
23266533 1
23275867 1
23276036 1
23283758 1
23286269 1
23286271 1
23316477 1
23316528 1
23321760 1
23328037 1
23337310 2
23337312 5
23337313 23
23338247 1
23338248 1
23338252 2
23338545 1
23338548 2
23338774 1
23365840 1
23365874 1
23365941 1
23393722 1
23393766 1
23425531 1
23425569 1
23425632 2
23425637 2
23432373 1
23442372 14
23442373 6
23442526 1
23442669 8
23442670 4
23442672 7
23463860 2
23481486 2
23483386 2
23483488 1
23483492 1
23484200 1
23484204 1
23484575 1
23484576 1
23502219 3
23502339 6
23551577 1
23551578 1
23551579 1
23551580 3
23551749 1
23551750 1
23551751 1
23551904 2
23560288 5
23560289 2
23583742 2
23583912 1
23585034 5
23585111 1
23585125 1
23585207 1
23589546 3
23589548 1
23589693 2
23589874 4
23590149 3
23590150 1
23590221 1
23590222 1
23590494 2
23590699 1
23591371 1
23591372 1
23591593 1
23599658 1
23599659 2
23599660 1
23599662 1
23607558 2
23607569 8
23607583 1
23645904 3
23694677 2
23694678 1
23694687 8
23694690 4
23694692 2
23694979 1
23702029 1
23702032 1
23716643 2
23716707 1
23725657 1
23725658 1
23751830 5
23764635 2
23764637 2
23765988 1
23780680 1
23780683 1
23783818 1
23784941 1
23784996 1
23787622 1
23787623 2
23788131 1
23788133 1
23788134 4
23800711 2
23800894 4
23894682 2
23894807 5
23898552 1
23898553 9
23899065 1
23899179 1
23900031 1
23900032 1
23900393 1
23901722 1
23901751 1
23901809 2
23902154 1
23911101 1
23914013 1
23914020 4
23914037 2
23914145 3
23915573 1
23916390 1
23916393 2
23916503 3
23916608 1
23919598 1
23920083 1
23920114 2
23920132 2
23920270 3
23920305 2
23920448 17
23920457 11
23920509 2
23920517 1
23920541 1
23920573 1
23920592 5
23920593 1
23920606 1
23920616 1
23920633 2
23920818 1
23920831 2
23920863 4
23920869 1
23920896 1
23920977 3
23921090 1
23921139 1
23921142 1
23921159 3
23921160 7
23921173 2
23944940 1
23945055 1
23945145 1
23949433 2
23949469 1
23949472 1
23951089 1
23951167 1
23951291 1
23951648 1
23952559 5
23953402 1
23953487 1
23954824 1
23954999 1
23972414 1
23972415 2
23980774 1
23996930 1
23999790 1
23999791 1
24024205 1
24040413 1
24040425 2
24040427 1
24057669 2
24057743 1
24057744 2
24057780 1
24057785 1
24057786 1
24146775 1
24152802 1
24163219 1
24163223 3
24163251 2
24163258 1
24163277 1
24163294 1
24163479 3
24164001 2
24164134 2
24164248 1
24164249 1
24164250 2
24164251 3
24164252 3
24178038 1
24179183 11
24179242 1
24179318 1
24180107 2
24180680 2
24180919 3
24181029 3
24186681 1
24186718 1
24186802 1
24186822 1
24186878 3
24187347 1
24187372 1
24187376 2
24187879 9
24198511 1
24200141 1
24202253 1
24202567 1
24207196 3
24207245 3
24207458 1
24208178 3
24208207 2
24208276 1
24228660 1
24228662 1
24228663 7
24235353 1
24240371 3
24240378 1
24240387 1
24240402 1
24240410 1
24240431 1
24240432 2
24240444 2
24240447 2
24240462 4
24240563 7
24240565 1
24240571 2
24240573 1
24240583 5
24240594 7
24240595 10
24240630 1
24240642 4
24240703 1
24244095 1
24244183 1
24244230 1
24244585 1
24276236 3
24276494 1
24346474 3
24346475 3
24389531 1
24432676 1
24450967 6
24451028 1
24504875 1
24505109 1
24505111 1
24535275 1
24568069 2
24568214 1
24568215 1
24593792 3
24593794 6
24593795 1
24609412 3
24609458 1
24609537 3
24609543 2
24614829 1
24614914 1
24615176 1
24615194 2
24615246 1
24615253 1
24615699 1
24694985 1
24694986 1
24865611 1
24865612 1
24866011 1
24866083 1
24866085 2
24866114 1
24866117 2
24866157 1
24873518 1
24873633 1
24873634 2
24874242 2
24875996 1
24876564 4
24876565 1
24876797 1
24876984 1
24876986 2
24876987 1
24877150 2
24877178 1
24877400 9
24893914 1
24893917 1
24896674 2
24897848 1
24897849 1
24897850 1
24897851 5
24897859 1
24900436 1
24902594 3
24902595 4
24902596 5
24903319 1
25266221 1
25372241 1
25372242 1
25372716 1
25373198 1
25373347 1
25483017 1
25556815 1
25556823 1
25584739 1
25589249 1
25649567 2
25650073 1
25657817 2
25661550 1
25661616 1
25661828 2
25661832 1
25661868 7
25661948 2
25661965 4
25681174 4
25694084 8
25694088 6
25694090 5
25694091 3
25694093 3
25694095 1
25694098 1
25695354 1
25732686 2
25752412 2
25752430 2
25752436 7
25752439 7
25752479 8
25752494 9
25752498 17
25752503 20
25752804 2
25752812 3
25752820 4
25752823 1
25753317 1
25753365 1
25753392 1
25767969 1
25768313 1
25768348 1
25775093 1
25877239 1
25991395 2
25992136 1
25992504 1
26172561 1
26172562 1
26172575 1
26172984 1
26173127 2
26178956 1
26183425 1
26183427 1
26183428 1
26184476 1
26228571 1
26295480 2
26347507 1
26547902 1
26548106 2
26591904 1
26593212 4
26593214 1
26593217 1
26593218 4
26596046 1
26596047 1
26643657 1
26643658 5
26643670 1
26663935 1
26664877 15
26665014 2
26665019 3
26665054 1
26665145 6
26665226 1
26665282 1
26665321 7
26665381 1
26665436 12
26665454 1
26665479 1
26784672 3
26784714 1
26785317 2
26785337 2
26785653 1
26785729 3
26785824 1
26786469 1
26786491 1
26786689 1
26786690 1
26792808 1
26792825 1
26792838 1
26792901 1
26792907 1
26792990 1
26793018 1
26793019 1
26793022 3
26793103 1
26793163 1
26800636 1
26800842 1
26801506 1
26802188 2
26802721 1
26804388 1
26804433 1
26804599 1
26804622 4
26804822 2
26816684 1
26944593 2
26945327 1
26946229 1
26946772 1
26957305 1
26957327 1
26967749 1
26981447 1
26981717 1
26984589 1
26986430 2
26992531 1
26992547 1
27012462 1
27012678 2
27027176 1
27030071 1
27038554 1
27038555 1
27065737 1
27065788 1
27081536 1
27127867 1
27136281 1
27159007 1
27164150 1
27170276 1
27186753 1
27186764 1
27186771 1
27186958 1
27186976 1
27187339 1
27198590 1
27200921 1
27207443 2
27207905 1
27208345 1
27208354 1
27209126 1
27285753 1
27285754 1
27308955 1
27309823 1
27309841 1
27312601 1
27312606 2
27314769 1
27316942 1
27317195 3
27318075 1
27318082 1
27318116 1
27318132 1
27318210 1
27318214 1
27335753 3
27335946 1
27336225 1
27336493 1
27337742 1
27337870 1
27338044 1
27339390 1
27340254 1
27340302 1
27341273 1
27342509 1
27342516 1
27342708 1
27359083 1
27374956 1
27414083 2
27414100 1
27414105 1
27414159 4
27414175 6
27421113 1
27421141 1
27421143 1
27421279 1
27421338 1
27421370 1
27421477 2
27430781 5
27430843 1
27432402 1
27432487 1
27434105 4
27445348 20
27445416 1
27445711 1
27445941 1
27446009 1
27446040 2
27446060 1
27446141 4
27446160 1
27457260 1
27457355 2
27475079 1
27494708 1
27509342 1
27510617 1
27522004 1
27523698 1
27524615 1
27524802 2
27524806 2
27524879 1
27524899 1
27525178 1
27525625 1
27527242 1
27529090 1
27568492 1
27571232 1
27572381 1
27591373 1
27620471 1
27632193 1
27634213 1
27670703 1
27670707 1
27670744 2
27670819 2
27671866 1
27695458 1
27734194 2
27736005 5
27736025 2
27785289 1
27785442 1
27785453 1
27785656 1
27785657 1
27785699 1
27786367 1
27797955 1
27804848 1
27804853 1
27804995 4
27805545 2
27806397 1
27806527 1
27806541 1
27806583 1
27806586 1
27806901 1
27808431 1
27808498 2
27852698 2
27853013 2
27854017 2
27854060 1
27854192 23
27856603 3
27856642 1
27856650 2
27856790 1
27856820 1
27857472 1
27858572 3
27858574 2
27858592 1
27858610 1
27858619 2
27858620 1
27858627 1
27858631 1
27858634 2
27864596 1
27864598 1
27864925 2
27875966 1
27881815 1
27881915 1
27881921 1
27882132 2
27882309 1
27882311 1
27896884 1
27897990 2
27898010 1
27898022 1
27898091 2
27898099 1
27922072 1
27922133 1
27922136 1
27922140 1
27922366 1
27942524 1
27943550 2
27944275 2
27944567 1
27944812 1
27947782 1
27947800 1
28004936 1
28039201 1
28039218 1
28039447 2
28039454 1
28039561 2
28039668 9
28039699 1
28039861 1
28057616 1
28057722 1
28059789 1
28060333 1
28063517 3
28081939 1
28092462 1
28093032 1
28093353 1
28093671 3
28098209 1
28100585 1
28101511 1
28117831 1
28117832 1
28136186 1
28136864 1
28137084 2
28155027 1
28155079 1
28157827 11
28157912 17
28157950 5
28159140 3
28159153 5
28159241 1
28159302 2
28159318 2
28159322 2
28159410 1
28159530 2
28159535 1
28159587 1
28159592 1
28159593 3
28159632 3
28159703 3
28159906 1
28160163 3
28160193 5
28160224 9
28160228 1
28160250 2
28160257 1
28160277 1
28160280 1
28160284 1
28160285 1
28160297 4
28160300 5
28160319 4
28160397 2
28160494 19
28160512 15
28160524 2
28160762 1
28160764 2
28160777 2
28160895 3
28160909 3
28160933 4
28160937 3
28160938 11
28193124 2
28193683 1
28193703 1
28193749 1
28203685 1
28204027 1
28204400 1
28213273 1
28213464 1
28213516 1
28213659 9
28213811 1
28213999 1
28214069 1
28264041 1
28264124 2
28264126 2
28273624 1
28273672 1
28323919 1
28324053 1
28324459 2
28324805 1
28324813 1
28325527 1
28326211 1
28374695 2
28374976 2
28374985 1
28375107 2
28375110 1
28375201 1
28435370 1
28523606 1
28523867 2
28523892 1
28523985 2
28524456 2
28549727 1
28549795 1
28603443 1
28603522 1
28603524 1
28603630 1
28606743 1
28606745 1
28615134 1
28654520 1
28654914 1
28654927 1
28654937 1
28654941 1
28654943 1
28667740 3
28669814 1
28674035 1
28674038 3
28674119 2
28674260 33
28674386 5
28674532 3
28674721 2
28676419 3
28676423 4
28676461 4
28676658 6
28676773 12
28676777 4
28676790 5
28676905 1
28676913 2
28676925 6
28676938 6
28677109 4
28677119 12
28677439 1
28677879 5
28678012 1
28867156 3
28867158 3
28867286 2
28867355 1
28867404 3
28867428 1
28867489 3
28867513 3
28867537 1
28867542 1
28867552 1
28873044 2
28884131 1
29017105 1
29088990 1
29088991 1
29088992 1
29089207 1
29249215 3
29249501 1
29249514 3
29269320 1
29269327 1
29298899 1
29415760 1
29454765 1
29465772 1
29490495 1
29492375 3
29492987 1
29754417 6
29754567 3
29755320 1
29923724 2
29925573 2
30045186 1
30045187 1
30045189 2
30045190 2
30059073 2
30060789 1
30060813 1
30100508 1
30100853 1
30103429 1
30104103 1
30104115 1
30129040 1
30129146 1
30129285 1
30129287 1
30129298 1
30129545 1
30129590 1
30129612 1
30132488 1
30132729 2
30132952 2
30132981 1
30154360 1
30175352 1
30175382 1
30175405 1
30175408 1
30219351 1
30219352 1
30297800 1
30299181 1
30301096 3
30336844 1
30589082 1
30636948 1
30703869 1
30703871 2
30703872 1
30703875 2
30703876 2
30704068 1
30704069 1
30704070 2
30704071 2
30704072 1
30704073 2
30704076 1
30710923 2
31865703 3
31867064 2
31875197 6
31875676 1
31875697 1
31875717 1
31875718 1
32203737 1
32404637 3
32454219 2
32454221 5
32454222 3
32454487 1
32454489 5
32454490 5
32454491 6
32454492 4
32455055 3
32504610 1
32504695 1
32516599 1
32558835 1
32572650 2
